,junct,Unnamed: 0,y,x,1517_masked,1517_all,seward2_hsp_elev,seward_hsp__dinf_area,slope_15m,aspect_15m,1519_all,1519_masked,aspect_40m,seward_hsp__tan_curv_LW,slope_40m,Outlet Elev,1519_all_zscore,1519_masked_zscore,1517_all_zscore,1517_masked_zscore,Area,area_km2,max_disp_zone
132,2601,78736444.67569639,7217815.591125174,433624.85443783586,0.004049676866314,0.004049676866314,202.46864012784158,1364.894417111684,0.044769799170749,294.5866181334208,0.012322666561707,0.012322666561707,310.28996195752643,-1.111991193e-06,0.042451124526906,179.92517,0.382018256344523,0.366895231696049,-0.216296458854985,-0.217318395193992,349804.0,0.349804,watertracks
133,2925,87304261.10611592,7216403.6838155715,447057.7717232445,0.002142503391937,0.002142503391937,211.40792389354831,2485.461124407366,0.097212165948851,302.4758574847466,0.010105893424201,0.010105893424201,304.5419307442096,5.8070751542e-05,0.09581871896135,114.05126999999999,0.224829085509282,0.208067046926413,-0.389749444844532,-0.390985079728265,1524924.0,1.524924,fluvial
134,2652,79022716.43831582,7217768.707830795,437614.6687392617,0.008542468092445,0.008542468092445,189.56557750895368,1467.430090302501,0.059240856119683,262.0564364118825,0.012747653758998,0.012747653758998,264.5206721317049,-1.6339953621e-05,0.058348403945582,144.43451,0.256644775942049,0.233288781156462,0.199570485495696,0.203765877690667,270280.0,0.27028,indeterminate
135,2479,79435243.0718111,7217700.429604658,434657.88736594946,0.009717326012034,0.009717326012034,220.80246436782582,3203.7456854763755,0.065087640735521,229.06387493065043,0.012642466257706,0.013480684854202,230.97012982687286,1.855441006e-06,0.06306129804471,160.63824,0.200922749632224,0.302356499007923,0.273175587212543,0.279856829464659,3261000.0,3.261,indeterminate
136,2735,83304023.49139261,7217063.013423573,442272.6985177383,0.020290789702521,0.023241186144506,188.5970095087549,2283.0446355185913,0.12328131926887,93.28673356877084,0.030398046132589,0.024329249092369,91.1423018029557,6.2827576456e-05,0.11958326892006,74.87295,1.11884778222949,0.708775857885197,0.772634504496875,0.574931473605856,1301672.0,1.301672,watertracks
137,2031,75805016.56539671,7218299.5969384005,440307.1308356954,0.015564722221049,0.015564722221049,214.06694751380485,12259.782394448574,0.116833169248643,160.69855958065978,0.013314732370785,0.013169149499185,158.550003423773,3.855996119e-06,0.111599659357681,73.70827,-0.155665766390111,-0.214358373891836,0.358419468227097,0.379098101040552,3220864.0,3.220864,watertracks
138,3339,94407757.15687086,7215231.510027891,439098.35002326977,0.010962289406532,0.010164999728149,259.73050473790903,3188.7141733240915,0.095043233233927,190.5207120755038,0.012246954141749,0.01354816054366,190.83463835938207,3.0362745144e-05,0.092526165852204,166.12474,0.026313499576481,0.15665396168062,0.308126919795928,0.390750646208164,2136932.0,2.136932,hillslopes
139,2502,80423569.6620701,7217537.774280844,438789.9559950225,0.00852029576981,0.00852029576981,240.1433554842241,3293.0212224400916,0.091536129342113,214.82307312040768,0.009190851247564,0.00915095609321,215.42519815925837,9.577637255e-06,0.089465686272337,144.45557,-0.032580078709155,-0.060751939806245,0.311112652342053,0.319147678533399,4757756.0,4.757756,hillslopes
140,3410,93856876.84580947,7215322.215448499,437322.3636197469,0.01082527749404,0.01082527749404,251.98544287187485,2043.2651865408436,0.081260759507365,166.3103270001459,0.011814833347276,0.011136855251768,166.41486206051115,5.270482563e-05,0.079753391392592,178.66898,-0.109358816443718,-0.092877428285504,0.197323415600517,0.208075757794085,2714388.0,2.714388,indeterminate
141,2712,82435678.7496628,7217205.4617355345,433053.89420045586,0.0047271179326,0.0047271179326,213.22362292487824,1071.1562588369407,0.050314175976321,210.31850234112522,0.012047385643117,0.012554094647779,189.46599173930196,-0.000111684880346,0.049834791253859,187.55411000000004,0.092897967584725,0.101457377230062,-0.522735912866107,-0.524437228187455,213520.0,0.21352,indeterminate
142,2757,85458708.84881262,7216707.270136184,437544.56717806414,0.008559991569214,0.008559991569214,235.5214021235714,2393.6674603839015,0.09292814617169,220.36160905977266,0.006518114579642,0.006900060813617,222.49050553631716,4.5123022395e-05,0.089903659110835,153.90706,-0.362356547885501,-0.251936934242785,0.147136788562212,0.15827559516116,2058664.0,2.058664,watertracks
143,2316,81172125.54769659,7217414.513555471,441118.9106388583,0.012837836445397,0.012837836445397,218.2766874003388,4563.769169999796,0.136647323757926,142.476750251262,0.00731618205142,0.00692386240572,142.22564913416005,1.6395191929e-05,0.131586631247219,69.675026,-0.569504067463549,-0.634526237695402,0.136556259723918,0.15558126801924,3811132.0,3.811132,watertracks
144,3319,92079585.34353527,7215616.060438307,446197.5504781921,-0.001207902023144,-0.001207902023144,198.33037390006436,1781.976010940008,0.102584582369579,283.6153310232521,0.006959142426344,0.006959142426344,283.74280762048437,-8.518576185e-06,0.101821331453338,103.1074,0.0133969776957,-0.000378455945178,-0.665392394654899,-0.666886505597499,497156.0,0.497156,fluvial
145,3723,98528936.47837937,7214552.470179455,446740.75106895994,-0.000112564570553,-0.000112564570553,207.61289646192142,1904.9627145431914,0.081346875595418,210.16449623362027,0.008685363862703,0.008685363862703,210.19801806083257,2.7392963814e-05,0.08016612486855,141.2169,0.003802703024068,-0.007586613273411,-0.734149220931449,-0.735252214510337,1161072.0,1.161072,fluvial
146,3333,92848281.81499426,7215489.261654573,445901.6430533776,9.8701888567e-05,9.8701888567e-05,175.74300571031173,1621.0924548753753,0.091712164993366,288.04793978432923,0.008219184514235,0.008219184514235,294.74948656040846,2.2167846442e-05,0.090551387088522,102.74213,0.006418457588219,-0.01466710690607,-0.662020503983643,-0.664195274980361,268300.0,0.2683,fluvial
147,3788,104388355.3351059,7213586.213323448,447781.57171797514,0.008488810607508,0.008488810607508,122.5557868004069,2183.452570317344,0.083049402890376,153.15121488793153,0.018289250003566,0.018289250003566,153.27389570028512,-7.876403018e-05,0.078817839784102,81.86184,0.375820231151225,0.381946348337764,-0.251959114084246,-0.249719398938915,1124752.0,1.124752,fluvial
148,3093,88278781.50572324,7216241.784869549,432750.05251885374,0.00671054699054,0.00671054699054,266.9298714740153,1966.294964910807,0.099739085193709,212.11526904764227,0.010515396262297,0.010900004480746,206.26065795444245,-8.4580713226e-05,0.097134418142755,201.07152,-0.029737540169251,-0.022130611303732,-0.182742266001993,-0.181323983810345,1012364.0,1.012364,fluvial
149,3459,93232188.0030905,7215425.807910099,444210.459995253,0.000463475717772,0.000463475717772,120.74601446869757,701.1410570120706,0.053761183844309,228.68680603147902,0.006913377081169,0.006913377081169,231.08985495545255,-2.2795528482e-05,0.051827046900481,93.97080000000001,-0.161237850672501,-0.181299681077472,-0.565734463481385,-0.567384040711714,90600.0,0.0906,hillslopes
150,2814,85972288.34209174,7216622.0619355505,431383.70466135273,0.00786449637154,0.00786449637154,288.07058684026396,3168.807103805043,0.087193112729057,111.87048972766193,0.013876402567877,0.014063442287544,110.43924256460348,5.794597949e-05,0.081534792936986,201.0935,-0.121690497982756,-0.101382333988835,-0.52345390443699,-0.52061320258052,4150368.0,4.150368,fluvial
151,2783,88036931.96081617,7216281.922913841,435805.025832456,0.011844126149902,0.011844126149902,253.21918342991114,3783.4817369327025,0.103840771068662,172.27923895409884,0.005344013345205,0.004719266128029,172.74550755496014,2.165527474e-06,0.100285355454011,153.88649,-0.766653538815495,-0.853698770474173,0.049305652350902,0.064727315331292,4540036.0,4.540036,hillslopes
152,2728,87298298.85603711,7216404.836206633,449108.3179637897,0.01316113388255,0.01316113388255,249.38216266329093,3621.4047509808574,0.140062813353642,175.9840205162192,0.01793329019158,0.01793329019158,176.07167547565592,9.06741066e-06,0.138127430121021,105.36890399999999,0.526694836382883,0.541955429127518,0.589863494744781,0.596920408543531,5262188.0,5.262188,watertracks
153,3939,102581279.59566087,7213883.654559652,440699.9642718725,-0.001394941155526,-0.001394941155526,263.83462025634935,1574.3336297214662,0.10222093180466,205.00841887819942,0.003671377220315,0.003671377220315,205.0838153029673,-1.2793472853e-05,0.101593224206841,154.6254,-0.508983098228631,-0.545360070537362,-0.856210118930545,-0.856824239789249,202064.0,0.202064,fluvial
154,3470,95006435.22164479,7215133.226803232,444573.81414283375,-0.000973060156573,-0.000973060156573,140.5185089935486,1324.5650279283698,0.06122261437265,292.1141371164022,0.007953193302822,0.007953193302822,293.02250876196933,3.8791776607e-05,0.058520528466863,94.01464,0.089777731370879,0.073445391308628,-0.735150980105961,-0.736962413776341,245512.0,0.245512,indeterminate
