,dInf_min,dInf_max,dInf_mean,dInf_count,slope_min,slope_max,slope_mean,slope_count,area (m2),bin_dinf,bin_slope
347,2266.0,2355.0,2322.2,5,15.699870109558105,16.667545318603516,16.18370819091797,2,3.247328311265596,30,20
348,1718.0,2266.0,1992.0,2,15.947884559631348,15.947884559631348,15.947884559631348,1,0.3600076367993602,30,19
349,2652.0,2825.0,2738.5,2,17.20433807373047,17.20433807373047,17.20433807373047,1,1.129468676443948,31,22
350,1975.0,2652.0,2389.6666666666665,3,17.20433807373047,17.20433807373047,17.20433807373047,1,0.1770260491749097,31,22
351,868.0,2134.0,1326.6666666666667,3,17.20433807373047,17.20433807373047,17.20433807373047,1,0.4779891532883871,30,22
352,2555.0,2555.0,2555.0,3,16.667545318603516,16.686494827270508,16.677021026611328,2,1.644871521516712,31,20
353,2300.0,2300.0,2300.0,1,16.686494827270508,16.686494827270508,16.686494827270508,1,0.4139973559123205,30,20
354,2162.0,2469.0,2315.5,2,16.686494827270508,16.686494827270508,16.686494827270508,1,0.17734869727323946,31,20
355,618.0,1451.0,1034.5,2,16.686494827270508,16.686494827270508,16.686494827270508,1,1.34338411348838,28,20
356,1850.0,1960.0,1905.0,2,16.686494827270508,16.686494827270508,16.686494827270508,1,0.25100648263529163,29,20
357,2330.0,2330.0,2330.0,1,16.686494827270508,16.686494827270508,16.686494827270508,1,0.18175821565321837,30,20
358,590.0,1422.0,1006.0,2,15.947884559631348,15.947884559631348,15.947884559631348,1,0.342813202317669,27,19
359,2030.0,2097.0,2074.6666666666665,3,15.699870109558105,15.947884559631348,15.823877334594727,2,0.4732032125036245,30,19
360,1316.0,2286.0,2039.6666666666667,6,15.447908401489258,15.699870109558105,15.573888778686523,2,4.129944594354129,30,18
361,2009.0,2100.0,2055.6666666666665,3,15.699870109558105,15.699870109558105,15.699870109558105,1,0.7744351909039695,30,18
362,2215.0,2215.0,2215.0,1,15.699870109558105,15.699870109558105,15.699870109558105,1,0.04616551111558851,30,18
363,1040.0,1980.0,1517.25,4,15.181231498718262,15.947884559631348,15.564558029174805,2,0.5507663788190716,29,19
364,1894.0,1980.0,1937.0,2,14.791121482849121,14.791121482849121,14.791121482849121,1,0.5761681653245052,29,16
365,1814.0,1894.0,1854.0,2,14.791121482849121,14.791121482849121,14.791121482849121,1,0.06600834586197563,29,16
366,707.0,808.0,757.5,2,14.999492645263672,15.447908401489258,15.223700523376465,2,1.0230890331415519,24,18
367,386.0,437.0,411.5,2,15.447908401489258,15.447908401489258,15.447908401489258,1,0.48308429896497757,21,18
368,437.0,1131.0,772.0,5,15.447908401489258,15.447908401489258,15.447908401489258,1,2.1001677847542344,26,18
369,1346.0,1346.0,1346.0,1,14.999492645263672,14.999492645263672,14.999492645263672,1,0.10399003215426583,27,17
370,1346.0,1767.0,1556.5,2,14.999492645263672,14.999492645263672,14.999492645263672,1,0.4813198191783256,29,17
371,1850.0,1927.0,1901.3333333333333,3,14.791121482849121,14.791121482849121,14.791121482849121,1,0.48663342315765906,29,16
372,2204.0,2268.0,2236.0,2,15.699870109558105,15.699870109558105,15.699870109558105,1,0.11850581832099444,30,18
373,1635.0,1741.0,1705.6666666666667,3,14.791121482849121,15.181231498718262,14.986176490783691,2,0.48457654431594466,29,17
374,1635.0,1850.0,1750.6666666666667,3,14.791121482849121,14.791121482849121,14.791121482849121,1,1.4473573433000968,29,16
375,1769.0,1797.0,1783.0,2,14.999492645263672,14.999492645263672,14.999492645263672,1,0.3561526687827229,29,17
376,1769.0,1797.0,1783.0,2,14.469559669494629,14.791121482849121,14.630340576171875,2,1.1482259342412604,29,16
